hashtags/0,mentions/0,id,text,user/nick,user/profile_img,user/followers,user/name,user/description,user/created_at,user/location/lat,user/location/long,user/id,user/friends,sentient,urls/0,hashtags/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,hashtags/6,hashtags/7,urls/1,mentions/1,mentions/2,urls/2
brooklyngrit,NetsDaily.com,2111279104,@NetsDaily That's not what #brooklyngrit means ! We have class so...... https://t.co/otl3sF9cVh,Adiddybk2012,https://pbs.twimg.com/profile_images/968215473576923136/aYqWBiHO_normal.jpg,161,adiddybk2012,,Fri Nov 18 19:50:46 +0000 2011,40.739446,-73.8333651,415767157,68,-0.875,,,,,,,,,,,,
BrooklynGrit,,697688064,Nets Have Big Decisions to Make at Guard - Nothin' But Nets https://t.co/ral2Izlu8G #BrooklynGrit https://t.co/sOwEx0FAqc,Brooklyn Nets News,https://pbs.twimg.com/profile_images/805379101175480320/PUffBP0i_normal.jpg,60,BNetsNews,The latest Brooklyn Nets news.,Sun Dec 04 11:50:13 +0000 2016,40.739446,-73.8333651,-2087235582,110,0,http://dlvr.it/QKQwg4,,,,,,,,,,,
TruetoAtlanta,,1880526849,"#TruetoAtlanta
#Celtics
#BrooklynGrit #BuzzCity
#BullsNation
#DefendTheLand
#MFFL
#MileHighBasketball… https://t.co/1MqKLYzslq",Algernon,https://pbs.twimg.com/profile_images/967061472659505152/yGFd9I8L_normal.jpg,3786,Echelon_Beats,Brother Of NBA 🌟 Ge-Lawn Guyn,Thu Nov 24 03:19:54 +0000 2011,,,420033070,2166,0,https://twitter.com/i/web/status/972225815663513601,Celtics,BrooklynGrit,BuzzCity,BullsNation,DefendTheLand,MFFL,MileHighBasketball,,,,
BrooklynGrit,,-1026277375,A Week With The Long Island Nets - https://t.co/QeDPgtuBpG https://t.co/SxXF3aUz8M #BrooklynGrit https://t.co/EIBPzn8Am6,Brooklyn Nets News,https://pbs.twimg.com/profile_images/805379101175480320/PUffBP0i_normal.jpg,60,BNetsNews,The latest Brooklyn Nets news.,Sun Dec 04 11:50:13 +0000 2016,40.739446,-73.8333651,-2087235582,110,0,http://Brooklynnets.com,,,,,,,,http://dlvr.it/QKP7VR,,,
NBA2K18,NBA 2K 2K18,-1588105216,"Liltrentrich3 goes 1 on 5....and dunks on EVERYBODY!!!

@NBA2K #NBA2K18 #2kTVWOW @2KTVWOW @BrooklynNets… https://t.co/LlwP0rJUaM",Brooklyn Grit Gaming Club,https://pbs.twimg.com/profile_images/969280423527370752/tVOl3RoD_normal.jpg,158,BrooklynGritGC,We’re a XBOX1 @NBA2K ProAm Team paying homage to the @brooklynnets. The goal of the squad is to build chemistry for 2K18 and beyond.,Fri Dec 15 15:25:52 +0000 2017,40.739446,-73.8333651,-1835610112,601,0,https://twitter.com/i/web/status/972140234971508736,2kTVWOW,,,,,,,,#2KTVWOW,Brooklyn Nets,
Nets,,257331200,"Player Averages
SF: Allen Crabbe
Average Fantasy Points: 21.9
Cost Per Point:  $219
Players Team: #Nets… https://t.co/nRvkkwnzzi",🌟🌟 FantasymAgic 🌟🌟,https://pbs.twimg.com/profile_images/944940481594691589/u5_TRP2V_normal.jpg,2371,jamesabaileyjr,"Dedicated Magic Fan & DFS Grinder
My Passion is to Motivate because You are Successful You are Amazing & You are Focused Now go show the world #YouCanDoIt 👊",Tue Apr 20 03:09:19 +0000 2010,28.6143519,-81.22977,135015396,1447,0,https://twitter.com/i/web/status/972083414399619072,,,,,,,,,,,
Nets,,-921186304,"Player Averages
C: Jarrett Allen
Average Fantasy Points: 18.1
Cost Per Point:  $271
Players Team: #Nets… https://t.co/BPG1bfAaq5",🌟🌟 FantasymAgic 🌟🌟,https://pbs.twimg.com/profile_images/944940481594691589/u5_TRP2V_normal.jpg,2371,jamesabaileyjr,"Dedicated Magic Fan & DFS Grinder
My Passion is to Motivate because You are Successful You are Amazing & You are Focused Now go show the world #YouCanDoIt 👊",Tue Apr 20 03:09:19 +0000 2010,28.6143519,-81.22977,135015396,1447,0,https://twitter.com/i/web/status/972072031557767168,,,,,,,,,,,
Nets,,1385607168,"Player Averages
SG: Caris LeVert
Average Fantasy Points: 24.35
Cost Per Point:  $209
Players Team: #Nets… https://t.co/60OwIQ0R6O",🌟🌟 FantasymAgic 🌟🌟,https://pbs.twimg.com/profile_images/944940481594691589/u5_TRP2V_normal.jpg,2371,jamesabaileyjr,"Dedicated Magic Fan & DFS Grinder
My Passion is to Motivate because You are Successful You are Amazing & You are Focused Now go show the world #YouCanDoIt 👊",Tue Apr 20 03:09:19 +0000 2010,28.6143519,-81.22977,135015396,1447,0,https://twitter.com/i/web/status/972064663700680704,,,,,,,,,,,
Nets,,-900231167,"Player Averages
SF: DeMarre Carroll
Average Fantasy Points: 26.91
Cost Per Point:  $234
Players Team: #Nets… https://t.co/P4GFy1BYnE",🌟🌟 FantasymAgic 🌟🌟,https://pbs.twimg.com/profile_images/944940481594691589/u5_TRP2V_normal.jpg,2371,jamesabaileyjr,"Dedicated Magic Fan & DFS Grinder
My Passion is to Motivate because You are Successful You are Amazing & You are Focused Now go show the world #YouCanDoIt 👊",Tue Apr 20 03:09:19 +0000 2010,28.6143519,-81.22977,135015396,1447,0,https://twitter.com/i/web/status/972045707724165121,,,,,,,,,,,
Nets,,383115264,"Player Averages
PG: Spencer Dinwiddie
Average Fantasy Points: 29.49
Cost Per Point:  $220
Players Team: #Nets… https://t.co/hZfXrAdnRl",🌟🌟 FantasymAgic 🌟🌟,https://pbs.twimg.com/profile_images/944940481594691589/u5_TRP2V_normal.jpg,2371,jamesabaileyjr,"Dedicated Magic Fan & DFS Grinder
My Passion is to Motivate because You are Successful You are Amazing & You are Focused Now go show the world #YouCanDoIt 👊",Tue Apr 20 03:09:19 +0000 2010,28.6143519,-81.22977,135015396,1447,0,https://twitter.com/i/web/status/971992799305392128,,,,,,,,,,,
