hashtags/0,hashtags/1,hashtags/2,hashtags/3,mentions/0,id,text,user/nick,user/profile_img,user/followers,user/name,user/description,user/created_at,user/id,user/friends,sentient,urls/0,mentions/1,urls/1,hashtags/4,hashtags/5,hashtags/6,hashtags/7,hashtags/8,hashtags/9,urls/2,mentions/2,mentions/3,mentions/4,mentions/5,mentions/6,mentions/7,mentions/8
Cavs,CavsNation,TheLand,defendtheland,TINA ADKINS,1737977856,RT @TEEMARIE0523: Lets go cavs #Cavs #CavsNation #TheLand #defendtheland,Tara'J✨,https://pbs.twimg.com/profile_images/966788025777868801/4Jiqq4S3_normal.jpg,1729,SavagePatch__,Jeremiah 29:11 ♡ ' BlackByPopularDemand🖤✨ | #UNCP18 | #BlackLivesMatter | Criminal Justice Major |,Wed Jul 25 19:34:35 +0000 2012,716628428,1503,0,,,,,,,,,,,,,,,,,
Cavs,CavsNation,TheLand,defendtheland,,-1365843968,Lets go cavs #Cavs #CavsNation #TheLand #defendtheland,TINA ADKINS,https://pbs.twimg.com/profile_images/717511805581594625/VUreYN4F_normal.jpg,11,TEEMARIE0523,,Wed Apr 15 03:04:13 +0000 2009,31320606,85,0,,,,,,,,,,,,,,,,,
DefendTheLand,NBA,,,Cleveland Cavaliers,1121243136,"The @Cavs starting Hill, Smith, Hood, LeBron, Nance Jr. on Friday. #DefendTheLand #NBA",NBA 📰,https://pbs.twimg.com/profile_images/840806600810012672/3UKdImNU_normal.jpg,1086,BasketballRoto,"Free #NBA news, DFS tools & content.  https://t.co/vfdB1wfxDK",Tue Nov 15 20:37:48 +0000 2016,-1101791232,503,0,,,,,,,,,,,,,,,,,
NBA,DefendTheLand,,,,-925454336,Cleveland Cavaliers vs LA Clippers NBA EN VIVO Temporada Regular online  #NBA #DefendTheLand https://t.co/YgpAZHuUwm,FeedNoticias,https://pbs.twimg.com/profile_images/790696811338031104/-xEkbW-b_normal.jpg,223,FeedNoti,Todas las últimas noticias de Latinoamérica  y el mundo en tiempo real.,Mon Oct 24 19:05:35 +0000 2016,-1030258688,383,0,https://fb.me/21FlJVok1,,,,,,,,,,,,,,,,
defendtheland,,,,Titan 23 Athletics,-1441312768,@TitanUp_RHS @TheMikeSmith2x Way to go Titans!! #defendtheland,Cleveland Dennis,https://pbs.twimg.com/profile_images/912873190652878853/63N6qoEs_normal.jpg,57,dennisclevelan,Happily married & proud father of 3 and die-hard COWBOYS fan,Sat Jun 25 02:48:40 +0000 2016,420884480,110,0,,Mike,,,,,,,,,,,,,,,
defendtheland,,,,drew ☺️🦋,-887627775,@docmccoys #defendtheland,isabel is taking the sat,https://pbs.twimg.com/profile_images/970012706794295302/bXeW9FMM_normal.jpg,632,legendsalonga,"what’s up, ooti tooti!",Tue Apr 28 20:49:32 +0000 2015,-1116390033,321,0,,,,,,,,,,,,,,,,,
CavsNation,DefendtheLand,Cavs,Signed,,2060947456,#CavsNation #DefendtheLand #Cavs #Signed Cleveland Cavaliers LEBRON JAMES Signed MALCOLM FARLEY 30x40 GICLEE CANVAS… https://t.co/VlZz1rWceg,Cavaliers Fans,https://pbs.twimg.com/profile_images/919827563098267648/9nnIO5lX_normal.jpg,6489,CavaliersViews,Cleveland Cavaliers Fan Page. NOT linked to Official Cleveland Cavaliers #AllforOne #ALLinCLE #CavsNation #ALLin216 #GoCavs #DefendtheLand #Cavaliers #Cavs,Wed Mar 04 01:12:59 +0000 2015,-1234289031,4647,0,https://twitter.com/i/web/status/972283561679228928,,,,,,,,,,,,,,,,
blessed,CLE,DefendTheLand,Browns,,-1441312768,The Browns have made great trades. We're on our way from 0-16 to 16-0. #blessed #CLE #DefendTheLand #Browns,Andrew Hoty,https://pbs.twimg.com/profile_images/962825226810740739/BYpnpGEC_normal.jpg,180,AHoty81900,"Be Positive & Happy, #RRHS 2018, senior, super trapper, #CLE sports fan/resident, ex 🏈 player (line), comedian, track, Italian food lover, Musician, 🇬🇷🇨🇮",Sun Sep 16 23:08:03 +0000 2012,827908190,488,0,,,,,,,,,,,,,,,,,
,,,,,1905639424,"Cleveland Cavaliers vs. Los Angeles Clippers game preview, start time, TV information - Fear the Sword… https://t.co/2VcX18f2gJ",Cleveland Cavaliers,https://pbs.twimg.com/profile_images/805754524866637824/ffVjQ2BO_normal.jpg,136,C_CavaliersNews,The latest Cleveland Cavaliers News,Mon Dec 05 12:42:11 +0000 2016,1821835264,26,-0.25,https://twitter.com/i/web/status/972271299392290816,,,,,,,,,,,,,,,,
Cavs,,,,,1490456578,"Player Averages
SF: LeBron James
Average Fantasy Points: 53.44
Cost Per Point:  $234
Players Team: #Cavs… https://t.co/2hwB4H9Pdv",🌟🌟 FantasymAgic 🌟🌟,https://pbs.twimg.com/profile_images/944940481594691589/u5_TRP2V_normal.jpg,2371,jamesabaileyjr,"Dedicated Magic Fan & DFS Grinder
My Passion is to Motivate because You are Successful You are Amazing & You are Focused Now go show the world #YouCanDoIt 👊",Tue Apr 20 03:09:19 +0000 2010,135015396,1447,0,https://twitter.com/i/web/status/972255828504907778,,,,,,,,,,,,,,,,
,,,,Todd Schrupp,1771372545,"@ToddTVG   The  most exciting two minutes in sports”; uninterrupted, even when coinciding with profound historical… https://t.co/zmzdiVZeUU",Mike S.,https://pbs.twimg.com/profile_images/970366766697218048/YPSkUNf8_normal.jpg,97,Bumsfan2,"There are things you know about, and things you don't, the known and the unknown, and in between are the doors—",Sun May 14 07:47:45 +0000 2017,-409612288,340,1.125,https://twitter.com/i/web/status/972254059259297793,,,,,,,,,,,,,,,,
