urls/0,hashtags/0,hashtags/1,mentions/0,mentions/1,mentions/2,id,text,user/nick,user/profile_img,user/followers,user/name,user/description,user/created_at,user/location/lat,user/location/long,user/id,user/friends,sentient,hashtags/2,urls/1,urls/2,hashtags/3,hashtags/4,hashtags/5,hashtags/6,hashtags/7,mentions/3,mentions/4,mentions/5,hashtags/8,hashtags/9,hashtags/10
http://Atlsportshq.com,TrueToAtlanta,ATLSportsHQ,Atlanta Hawks Talk,Elijah (Muggy),Atlanta Hawks,1419169792,"RT @ATLHawks_Talk: Postgame video recap (Hawks vs Pacers)

By: @lilmuggy 

https://t.co/PsXGK2mUvT

#TrueToAtlanta #ATLSportsHQ @ATLHawks @…",Jackson Stone,https://pbs.twimg.com/profile_images/970522236133171201/Woa9cM66_normal.jpg,231,tdjs_network,"I’m a Georgia sports fan. That basically tells you all you need to know about me. ATL REPRESENT @birdsinthebenz @ATLSportsHQ @ATLHawks_Talk
#FireSark
MHS",Sat Jun 10 23:03:02 +0000 2017,35.0006589,-80.751429,118882304,368,0,,,,,,,,,,,,,,
,NBA,Pacers,Legado NBA,,,-1776824319,"RT @LegadoNBA: #NBA 

FINAL

Atlanta Hawks 87
Indiana Pacers 112

#Pacers #TrueToAtlanta https://t.co/SjL66xWrBL",♑🔁,https://pbs.twimg.com/profile_images/969877756275298304/7KcgxT18_normal.jpg,200,SalvatoreFacu,"Periodista.

Then it all comes back to you",Sun Sep 12 02:39:30 +0000 2010,37.88472489999999,-122.114775,189736290,193,0,TrueToAtlanta,,,,,,,,,,,,,
https://twitter.com/i/web/status/972311347634589697,ATLvsIND,,,,,-422096895,"#ATLvsIND 

Dennis Schroder: 15 points, 4 assists 
Tyler Dorsey: 18 points, 4 rebounds 
Mike Muscala: 12 points 

M… https://t.co/ZYgfuiClym",Joshie A. Lopez,https://pbs.twimg.com/profile_images/961179360110759936/RQHau_-J_normal.jpg,2302,NotoriousJoshie,"Free-Agent Radio Host/Producer from Chi-Town. Love Chicago Sports. Wrestling Stenographer @PWTranscripts, Host #JLWPodcast Apple Podcast #StudentOfTheGame #PMA",Wed Jul 20 15:59:10 +0000 2011,42.023131,-87.52366099999999,339102331,4002,0,,,,,,,,,,,,,,
http://Atlsportshq.com,TrueToAtlanta,ATLSportsHQ,Atlanta Hawks Talk,Elijah (Muggy),Atlanta Hawks,-862461951,"RT @ATLHawks_Talk: Postgame video recap (Hawks vs Pacers)

By: @lilmuggy 

https://t.co/PsXGK2mUvT

#TrueToAtlanta #ATLSportsHQ @ATLHawks @…",K.M🤑ney 🇯🇲,https://pbs.twimg.com/profile_images/969851506584440832/Leva-fbe_normal.jpg,360,ReturnOfTheG_,East Atlanta raised. KKΨ Spr.15 #GSU18,Tue Jun 22 12:59:32 +0000 2010,18.5697821,-76.1448669,158363177,345,0,,,,,,,,,,,,,,
http://bit.ly/2FqoKeo,,,Atlanta Hawks,KAP-G,,2144776194,"RT @ATLHawks: REMINDER: @TheRealKapG will perform on Tuesday when we host the Thunder. Get your tix: https://t.co/TGQE5efeXL

#TrueToAtlant…",adhoc agency,https://pbs.twimg.com/profile_images/837426015605571584/7zSpOp2a_normal.jpg,49,theadhocagency,for business. for people. for communities. for family. for cause. for ideas. for results. for purpose. for this. we are #adhocagency. founder @ElRicardoMiguel,Wed Mar 01 16:28:13 +0000 2017,33.8876179,-84.289389,1427537920,34,0,,,,,,,,,,,,,,
http://XXLMAG.COM,,,,,,-485044223,Kap G and the Atlanta Hawks Team Up for Collaborative T-Shirt - https://t.co/sZGOOhonXV https://t.co/2dFqP3PkBZ… https://t.co/4YO5yP19GP,Atlanta Hawks,https://pbs.twimg.com/profile_images/806146114248380416/1HELCnkp_normal.jpg,37,AHawksNews,The latest Atlanta Hawks news.,Tue Dec 06 14:38:30 +0000 2016,33.8876179,-84.289389,1930915845,10,0,,http://dlvr.it/QKRlSy,https://twitter.com/i/web/status/972309212972896257,,,,,,,,,,,
http://Atlsportshq.com,TrueToAtlanta,ATLSportsHQ,Atlanta Hawks Talk,Elijah (Muggy),Atlanta Hawks,-1487482880,"RT @ATLHawks_Talk: Postgame video recap (Hawks vs Pacers)

By: @lilmuggy 

https://t.co/PsXGK2mUvT

#TrueToAtlanta #ATLSportsHQ @ATLHawks @…",Ryan,https://pbs.twimg.com/profile_images/969092506293014528/U_ml7n_K_normal.jpg,1373,_RMiller30,,Tue May 20 23:42:13 +0000 2014,,,-1738731467,628,0,,,,,,,,,,,,,,
http://Atlsportshq.com,TrueToAtlanta,ATLSportsHQ,Atlanta Hawks Talk,Elijah (Muggy),Atlanta Hawks,-950546432,"RT @ATLHawks_Talk: Postgame video recap (Hawks vs Pacers)

By: @lilmuggy 

https://t.co/PsXGK2mUvT

#TrueToAtlanta #ATLSportsHQ @ATLHawks @…",Arturo P,https://pbs.twimg.com/profile_images/889882312845836289/j-RjL8xg_normal.jpg,52,ArturoPrincipe1,,Fri Sep 25 14:02:43 +0000 2015,,,-523333609,74,0,,,,,,,,,,,,,,
https://twitter.com/hawksonfsse/status/972290243754897408,TrueToAtlanta,,,,,525729793,#TrueToAtlanta https://t.co/jc3SgxCFPX,Riah,https://pbs.twimg.com/profile_images/953620093438701568/y_nzl6ZD_normal.jpg,2581,mariah_veal84,"#FVSU|computer science major|💙💛🐯|sports: #falcons,#bulldogs,#hawks|❤ ♉️| Philippians 4:13 & Jeremiah 29:11| 23|",Mon Jul 11 16:15:41 +0000 2011,,,333481231,2792,0,,,,,,,,,,,,,,
http://Atlsportshq.com,TrueToAtlanta,ATLSportsHQ,Atlanta Hawks Talk,Elijah (Muggy),Atlanta Hawks,790016000,"RT @ATLHawks_Talk: Postgame video recap (Hawks vs Pacers)

By: @lilmuggy 

https://t.co/PsXGK2mUvT

#TrueToAtlanta #ATLSportsHQ @ATLHawks @…",Phil,https://pbs.twimg.com/profile_images/962201562281140224/RleUHgjb_normal.jpg,4400,_ATLPhil,"🦉’18 Civil Engineering. RT’S ≠ Agreement or Endorsement. @ATLSportsHQ CEO, Founder and Writer. ATL Everything. Starving for more success. Phil 4:13🇵🇷🇺🇸",Mon Jul 08 16:46:57 +0000 2013,33.8876179,-84.289389,1578123499,2948,0,,,,,,,,,,,,,,
