hashtags/0,id,text,user/nick,user/profile_img,user/followers,user/name,user/description,user/created_at,user/location/lat,user/location/long,user/id,user/friends,sentient,urls/0,mentions/0,hashtags/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,mentions/1,mentions/2,hashtags/6,hashtags/7,hashtags/8,hashtags/9,hashtags/10,hashtags/11,mentions/3,mentions/4,mentions/5,mentions/6,mentions/7,mentions/8,mentions/9,urls/1
Warriors,-1315622911,This game shift in Portland is aggravating me. #Warriors and the T on Draymond is also annoying.,kiddle,https://pbs.twimg.com/profile_images/947905549722517504/swcpYYNg_normal.jpg,2697,kiddle,"Is it intelligent? I'll watch it. OK - i watch stupid shit, too. Avid reader, tv watcher, mother of 3 young men, wife (37 years), Contract Auditor, Otter Lover.",Fri Nov 28 21:54:45 +0000 2008,37.53433589999999,-122.081473,17720657,1478,0,,,,,,,,,,,,,,,,,,,,,,,
,-2049572863,"if I was to every be lucky enough to get courtside at a game I would never disrespect anyone especially 
@of… https://t.co/P9sHJNuzxF",Gypsy,https://pbs.twimg.com/profile_images/970438554118737921/PTtz9dqm_normal.jpg,1591,reg1_e,Everyday I Work❤ Caregiver to my mother I love the #NBA !!Romans 12:21 !believer! Be kind to others you don't know their struggle,Wed May 29 20:47:05 +0000 2013,,,1468201914,2269,0,https://twitter.com/i/web/status/972323646793449473,of,,,,,,,,,,,,,,,,,,,,,
Warriors,-569049086,"RT @SNstats: Here are the Rockets, Warriors, Raptors, Celtics &amp; Cavs records when facing each other this season

#Warriors 6-3
#Raptors 4-3…",#RIPJohnnyBower #1 🙏🏼💙,https://pbs.twimg.com/profile_images/945845231110430720/8fnPAckf_normal.jpg,4343,BeLEAFingWithJB,"@MapleLeafs super fan site,lifelong PROUD #Leafsaholic #GoLeafsGo also DIEHARD @Raptors @TorontoFC #MUFC #Marlies #Dolphins #Argos #BlueJays #WWE #UFC 🇨🇦🏒",Wed Sep 18 14:41:38 +0000 2013,,,1879748407,4989,-0.625,,Sportsnet Stats,Raptors,,,,,,,,,,,,,,,,,,,,
lakers,-1131085819,Yooo Brook Lopez is a whole new person with the fresh cut #lakers,christy mora,https://pbs.twimg.com/profile_images/937148183917969408/98bLBj0m_normal.jpg,450,christymora,"USC Alumni #fighton ✌️I tweet about life, sports and everything in between. Hit me up for a book or film rec",Sun Apr 12 01:47:07 +0000 2009,34.3373061,-118.1552891,30574547,873,0.375,,,,,,,,,,,,,,,,,,,,,,,
Lakers,1666527232,"#Lakers have six guys in double figures, including all five starters. Lopez having a great game for the second night in a row.",Alex Vejar,https://pbs.twimg.com/profile_images/965684219199369217/JTBgrTal_normal.jpg,673,AlexVReporting,Lakers beat for @AVP_Sports. Freelance NBA writer. Formerly @MalibuNews. @CSUNorthridge alum. PBWA member. Former wannabe rock star. @TaylorSwift13 apologist.,Thu Jul 15 19:18:19 +0000 2010,34.3373061,-118.1552891,167100622,735,0.25,,,,,,,,,,,,,,,,,,,,,,,
Warriors,760696832,A fan just got thrown out of the #Warriors– #Blazers game for saying something inappropriate to KD. #NBA #GSWvsPOR #NBATwitter,Ruben Ibarra,https://pbs.twimg.com/profile_images/960243665468784640/6KVc7BqR_normal.jpg,924,chicitybulls09,"Die hard #Bulls, #Bears, #WhiteSox & #Blackhawks fan. #NBA comes first. Follow me on Instagram at @chicitybulls09. It's 'Bisky Time! 🔟",Sat Apr 25 02:21:49 +0000 2009,41.85775400000001,-87.5403451,35117644,3364,-0.5,,,Blazers,NBA,GSWvsPOR,NBATwitter,,,,,,,,,,,,,,,,,
Lakers,-1265238016,RT @DanDuangdao: Lonzo Ball makes winning plays. #Lakers,"Brandon Moultrie, Esq.",https://pbs.twimg.com/profile_images/969231550393999360/z5Ivu4ON_normal.jpg,598,BoomerBossB,"Coordinator, Athletic Governance at The University of Oklahoma 🐴. FSU Alum 🍢🍢 #BoomerSooner #GoNoles",Thu Apr 14 22:35:23 +0000 2011,35.348324,-97.17691789999999,282282358,1173,-0.125,,Dan Duangdao,,,,,,,,,,,,,,,,,,,,,
Warriors,1331019776,Man...Looney foul and then all of sudden Portland is running. #Warriors https://t.co/x76ylMuSoY,Mike,https://pbs.twimg.com/profile_images/971235787621548032/qFvInE08_normal.jpg,431,ThoughtsByMike,I'm a nerd that loves sports. You'll get more than you'll probably want of either and a few deep thoughts for taste.,Fri Apr 03 05:31:11 +0000 2009,42.0095169,-115.6483569,28511271,382,-0.5,,,,,,,,,,,,,,,,,,,,,,,
Warriors,-1248509950,"When the #Warriors are playing the #Trailblazers, I’m torn. I want my dubs to win but then I want that #Flyguy… https://t.co/HFVvUDt3hH",Certified $uperwoman,https://pbs.twimg.com/profile_images/968735266843262976/6j_w_wMu_normal.jpg,1549,SuperwomanSF,So fly even my cape has wingz! Fast & fly graphic designer!,Sat Apr 11 21:35:08 +0000 2009,38.1441921,-122.0368974,30529750,1800,-1.125,https://twitter.com/i/web/status/972323445731049474,,Trailblazers,Flyguy,,,,,,,,,,,,,,,,,,,
Warriors,1922555904,Quinn Cook is shit. Take him out! #Warriors,#FML,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,2,SaroHamdy,Welcome to my mess,Tue Jun 27 01:22:50 +0000 2017,43.5317799,-80.46729289999999,1050017796,59,0,,,,,,,,,,,,,,,,,,,,,,,
