hashtags/0,mentions/0,id,text,user/nick,user/profile_img,user/followers,user/name,user/description,user/created_at,user/id,user/friends,sentient,urls/0,urls/1,user/location/lat,user/location/long,mentions/1,mentions/2,hashtags/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,mentions/3,mentions/4,hashtags/6,hashtags/7,mentions/5,urls/2
BuzzCity,Dwight Howard,1356255232,Can’t wait to see @DwightHoward slam some dunks tomorrow night! #BuzzCity https://t.co/qo2O1nV8yI,Gabi,https://pbs.twimg.com/profile_images/959167455410163713/rDVSymE3_normal.jpg,753,PanthDomination,I made my own blog about the Panthers! Creator/writer for Panther Domination. Love my Hornets too! PHS’18,Sat May 11 21:51:24 +0000 2013,1421650218,1429,0.25,,,,,,,,,,,,,,,,,
BuzzCity,,-1177165824,Hornets hope to use Suns to recover from stinging loss - https://t.co/QOr9CCvjQO https://t.co/WUeB5BlF3n #BuzzCity https://t.co/kUxdTv3iz9,Charlotte Hornets,https://pbs.twimg.com/profile_images/806150438693339136/LRd1FWIc_normal.jpg,49,CHornetsNews,The latest Charlotte Hornets news.,Tue Dec 06 14:51:54 +0000 2016,278298624,6,-0.375,http://FOXSports.com,http://dlvr.it/QKRs5h,35.39313300000001,-80.670104,,,,,,,,,,,,,
BuzzCity,Steven Carr,-464039936,RT @ScubaCarr: @jimbreezy5 I wish I had your optimism about our @hornets #BuzzCity,James Michael Martin,https://pbs.twimg.com/profile_images/914931942797299717/3I-bUyNC_normal.jpg,604,jimbreezy5,#uncp19 #KeepPounding #BuzzCity,Sat Jan 03 03:18:27 +0000 2015,-1337158025,592,0.5,,,35.39313300000001,-80.670104,James Michael Martin,Charlotte Hornets,,,,,,,,,,,
,,-728416256,Is Charlotte Hornets star Kemba Walker willing to ride out another rebuild? - Charlotte Observer… https://t.co/SLMRfxbmiq,Charlotte Hornets,https://pbs.twimg.com/profile_images/806150438693339136/LRd1FWIc_normal.jpg,49,CHornetsNews,The latest Charlotte Hornets news.,Tue Dec 06 14:51:54 +0000 2016,278298624,6,0.25,https://twitter.com/i/web/status/972308220592078848,,35.39313300000001,-80.670104,,,,,,,,,,,,,
,,-896155646,Charlotte Hornets' Michael Carter-Williams out for season with labral tear in left shoulder -… https://t.co/bGnhH4HKQL,Charlotte Hornets,https://pbs.twimg.com/profile_images/806150438693339136/LRd1FWIc_normal.jpg,49,CHornetsNews,The latest Charlotte Hornets news.,Tue Dec 06 14:51:54 +0000 2016,278298624,6,-0.25,https://twitter.com/i/web/status/972308216129372162,,35.39313300000001,-80.670104,,,,,,,,,,,,,
BuzzCity,Charlotte Hornets,1851224064,"RT @hornets: Malik Monk is tonight's @Sprite Player of the Game with a strong performance off the bench.

#BuzzCity https://t.co/hlbAJjrLSX",Tray McDonald,https://pbs.twimg.com/profile_images/970813108095737856/Jk-MU5qL_normal.jpg,52,TrayMcDonald5,LongLiveKWill3️⃣ WhoDatNation⚜️ WPS🐗 Pit Bull Dad!🐶,Sat Jan 06 07:37:05 +0000 2018,1998032898,478,0.5,,,36.40587,-94.079499,Sprite,,,,,,,,,,,,
,,-699084799,"Maciej Lampe's CAREER(2003-2006) Shot Chart:
Volume: MINISCULE | 4.1 Attempts per Game (231 attempts in 56 games)
E… https://t.co/zbTzhHxcL3",NBA Shot Charts,https://pbs.twimg.com/profile_images/843918219047985153/8Wi7PltX_normal.jpg,399,NBAChartBot,I am a simple bot and I tweet eFG%-based NBA shot charts. I love seasons with 0 made baskets and tag them #Randy after career leader (with 3) Randy Livingston,Tue Feb 07 21:42:58 +0000 2017,559230976,252,0,https://twitter.com/i/web/status/972293763761491969,,33.84941999999999,-78.068068,,,,,,,,,,,,,
,Kyle Lowry,1888980994,.@Klow7 did this to @MCW1 Enough players have been hurt this season w/o the help of other players Kyle. 😝 Best wish… https://t.co/QIZVo6AsLZ,Cece Lewis,https://pbs.twimg.com/profile_images/923408098001391616/NfcMQTtg_normal.jpg,1971,cecelewis8,"Raised in the 330. Moved to the 704. Still down w/OH sports. Love my @cavs , @hornets & MMA. IFB!
IG: cecelewis8 ; Snapchat: chosengurl8",Fri Dec 05 02:55:21 +0000 2014,-1389060563,2003,-1.625,https://twitter.com/i/web/status/972277183480827906,,,,Michael Carter-Willi,,,,,,,,,,,,
OwnIt,Dwight Howard,789901317,RT @DwightHoward: First time I have heard that @CarolynBruckTV  It’s Yours - #OwnIt #BuzzCity https://t.co/fgz1wOEnZE,Lory,https://pbs.twimg.com/profile_images/914867969129410560/lGeDQqEJ_normal.jpg,19770,loryurr,,Thu Nov 10 16:30:07 +0000 2016,-761888767,3570,-0.125,https://twitter.com/carolynbrucktv/status/954887499087798272,,25.8728059,-80.110192,Carolyn Bruck,,BuzzCity,,,,,,,,,,
BuzzCity,Charlotte Hornets,-1072242687,"RT @hornets: WATCH: @AhmadMonk finished with 13 points, 5 assists and 3 rebounds in tonight's game vs. the Nets. #BuzzCity https://t.co/LkC…",Payton Hicks,https://pbs.twimg.com/profile_images/971187420862525440/T9b-3sn9_normal.jpg,263,PayHicks5,⛹🏾🏀🏈🚾| Philippians 4:13| ‘19🎓,Mon Nov 25 14:30:03 +0000 2013,-2080808073,246,0.75,,,,,Malik Monk,,,,,,,,,,,,
Charlotte,Stadium Traveler,5722112,RT @TravelerStadium: Made it to the Spectrum Center to watch the #Charlotte #Hornets play!  #mystadiumtravels #sports #Basketball #nba #Nor…,Daniel Novak,https://pbs.twimg.com/profile_images/968615452623687681/eX1V8BU2_normal.jpg,333,Dnovak_24,,Sat Jul 30 03:29:34 +0000 2011,345136044,204,0,,,38.8731991,-90.64889289999999,,,Hornets,mystadiumtravels,sports,Basketball,nba,,,,,,
BuzzCity,Charlotte Hornets,1591201794,"RT @hornets: Dwight Howard is tonight's @Sprite Player of the Game

#BuzzCity https://t.co/gJr0ospmGx",👑 NaNee,https://pbs.twimg.com/profile_images/898038561534029824/EUsUlSIo_normal.jpg,1228,Na_NeeMCCX,💋#DH12 🏀🏀🤗,Mon Jun 05 03:25:04 +0000 2017,2119610368,1133,0,,,36.0769849,-86.6555418,Sprite,,,,,,,,,,,,
hornets,,454483975,Charlotte Hornets’ Guard Michael Carter-Williams To Undergo Season Ending Surgery https://t.co/zsKHDxsIh8 #hornets… https://t.co/HEuXrlBcA5,"WCCB, Charlotte's CW",https://pbs.twimg.com/profile_images/875424780869976064/rQ5MCcJ6_normal.jpg,80888,WCCBCharlotte,"WCCB, Charlotte's CW is your source for news, sports, weather & entertainment. *If you mention us you consent to WCCB using your content.",Wed Jun 11 01:54:48 +0000 2008,15080288,1420,0,http://ow.ly/jXyS30iRtx7,https://twitter.com/i/web/status/972260843990736903,35.39313300000001,-80.670104,,,,,,,,,,,,,
BuzzCity,Charlotte Hornets PR,2094456833,RT @HornetsPR: OFFICIAL: @hornets have transferred two-way player Marcus Paige back to @greensboroswarm of @nbagleague #BuzzCity,Glenda Staten,https://pbs.twimg.com/profile_images/717480511254343681/khgQymGa_normal.jpg,5097,glendastaten,"Retired Army Veteran...I love God, photography, history, sports, genealogy, movies, and reading. I believe in #love #diversity #kindness & #positivity",Thu Feb 12 08:42:30 +0000 2009,20662625,5624,-0.125,,,36.5881568,-75.400119,Charlotte Hornets,Greensboro Swarm,,,,,,NBA G League,,,,,
Hornets,(((Mike Reader))),-539566079,"RT @mreader: Is Charlotte #Hornets star Kemba Walker willing to ride out another rebuild? ... From @rick_bonnell

https://t.co/vNoFfqKDUZ…","Arthurlee L. Mitchell, Jr.",https://pbs.twimg.com/profile_images/950175122366767104/k4x_mqbj_normal.jpg,2052,Arthurlee_M,"Geek, Carolina Panthers Fan, Charlotte Hornets Fan, Fan of Univ. of S.C. Gamecocks, father of 1, native of John's Island, SC & SMC '95 & Newberry College '97",Sat Jun 12 00:41:45 +0000 2010,154709971,2697,0.25,http://www.charlotteobserver.com/sports/nba/charlotte-hornets/article204395169.html,,,,Rick Bonnell,,,,,,,,,,,,
Hornets,(((Mike Reader))),93769732,"RT @mreader: Is Charlotte #Hornets star Kemba Walker willing to ride out another rebuild? ... From @rick_bonnell

https://t.co/vNoFfqKDUZ…",Rick Bonnell,https://pbs.twimg.com/profile_images/876599836669333504/K-_zIpOE_normal.jpg,24046,rick_bonnell,I cover the NBA and the Charlotte Hornets for the Charlotte Observer.,Sat Sep 10 14:42:01 +0000 2011,371271630,118,0.25,http://www.charlotteobserver.com/sports/nba/charlotte-hornets/article204395169.html,,35.39313300000001,-80.670104,Rick Bonnell,,,,,,,,,,,,
