hashtags/0,mentions/0,id,text,user/nick,user/profile_img,user/followers,user/name,user/description,user/created_at,user/id,user/friends,sentient,urls/0,hashtags/1,mentions/1,hashtags/2,hashtags/3,urls/1,mentions/2,mentions/3,urls/2,hashtags/4,user/location/lat,user/location/long,hashtags/5,hashtags/6,hashtags/7,hashtags/8,hashtags/9,hashtags/10,mentions/4,mentions/5,mentions/6,mentions/7,mentions/8,hashtags/11,hashtags/12;;;;;;;;;;;;;;;
"Bulls,Bulls Talk,-2141745152,RT @NBCSBulls: See this fancy GIF our outstanding graphics team made? That means #Bulls Postgame Live is starting right now on NBC Sports C…,Gustavo Vega,https://pbs.twimg.com/profile_images/740677685123420160/ysn2O0wb_normal.jpg,2119,iamvega1982,""I'm A Sport Fan, Diehard Chicago Bulls Fan"",Mon May 23 16:40:37 +0000 2011,303915091,693,0,,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;
"Bulls,,1364713472,See this fancy GIF our outstanding graphics team made? That means #Bulls Postgame Live is starting right now on NBC… https://t.co/J5zv92lbiy,Bulls Talk,https://pbs.twimg.com/profile_images/914800961729654785/aTjCt_oA_normal.jpg,8292,NBCSBulls,""Our starting 5 of @MarkSchanowski, @KendallG13, @vgoodwill, @Will_Perdue32, @markstrot doesn’t tank. But we’ll be with you during every step of the rebuild."",Mon Nov 28 16:49:56 +0000 2011,423540866,173,0,https://twitter.com/i/web/status/972312702336098304,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;
BullsNation,Chicago Bulls,706121728,RT @chicagobulls: Solid start for the good guys in the Motor City! #BullsNation  Lopez: 9pts/2reb Holiday: 6pts LaVine: 5pts/2reb/2stl http…,ⓐⓝⓐ,https://pbs.twimg.com/profile_images/959480895446056960/l6hr3zmX_normal.jpg,162,AnaPalumbo14,//Libra♎/ /viajar es mi pasion✈//Paris mi sueño 🗼💖//Wattpader 📚 //Never stop dreaming ✨//,Tue Dec 22 16:29:17 +0000 2015,274431779,830,0.25,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
"Bulls,,1461153793,Who got tons of money from the #Bulls smh https://t.co/zpEgodeaMz,AYJ,https://pbs.twimg.com/profile_images/964007089294184450/jcJp7NtS_normal.jpg,1918,mysticrealm21,""Tweeting about Chicago & my random thoughts :) Diehard fan of the #Bears, #Whitesox, #Bulls & #Blackhawks! Proud Mexicana! #nevertrump"",Tue Apr 05 13:17:53 +0000 2011,277479711,1939,0,https://twitter.com/ChiSoxFanMike/status/972287543617163264,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;
BullsNation,,1142345730,Just be patient young Bull 🤘🏾#BullsNation https://t.co/bIuPCWrRTA,🦅🏆,https://pbs.twimg.com/profile_images/926839116418953217/JdRSqGEP_normal.jpg,195,TaZz__AwEsOmE,🦅🏆 SUPERBOWL LII CHAMPIONS 🏆🦅,Fri Sep 09 04:45:02 +0000 2016,1632931840,178,0.125,https://twitter.com/zachlavine/status/972306624667889664,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
"BullsNation,Zach LaVine,-1168650240,""@ZachLaVine It is bro, but it’ll get better. You’re the leader of our squad. Change the culture. We believe in y’all. 💯💯 #BullsNation"",MMMLife,https://pbs.twimg.com/profile_images/972311996606681088/IezxH3_3_normal.jpg,51,MoneyMeechaveli,""Florida State, Tampa Bay Bucs, Chicago Bulls, R&B, Author, Blessed & Successful. Peace,& Prosperity. Spread Love. Florida Bred, Georgia Raised."",Mon May 26 05:15:24 +0000 2014,-1730261191,112,0,,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;
,Nick Filipowski,-1294561280,RT @NEWS4_NICK: After his quarterfinal and semifinal performances I. asked Jeremy Harris if he had one more game like this in him  JH: “I d…,Julie Skrabucha,https://pbs.twimg.com/profile_images/972293728814747648/DsJxriFX_normal.jpg,124,BuffaloGirl2283,Die hard Buffalo fan born and raised. Bills and Ub season ticket holder. I am a girl who loves and knows her sports.,Thu Oct 18 22:56:28 +0000 2012,889901809,405,0.125,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
"CHIvsDET,,1033342976,""#CHIvsDET   Kris Dunn: 13 points, 4 assists  Lauri Markkanen: 6 points, 8 rebounds Cameron Payne: 17 points   Blake… https://t.co/5K98THVSx4"",Joshie A. Lopez,https://pbs.twimg.com/profile_images/961179360110759936/RQHau_-J_normal.jpg,2302,NotoriousJoshie,""Free-Agent Radio Host/Producer from Chi-Town. Love Chicago Sports. Wrestling Stenographer @PWTranscripts, Host #JLWPodcast Apple Podcast #StudentOfTheGame #PMA"",Wed Jul 20 15:59:10 +0000 2011,339102331,4002,0,https://twitter.com/i/web/status/972310180858925056,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;
",Zach LaVine,206962690,""@ZachLaVine Good... Anyone on the team that ain’t frustrated don’t wanna win. So, use this frustration to get bette… https://t.co/wAfsvZkQVD"",""Arley Thomas, III"",https://pbs.twimg.com/profile_images/930333855017590784/29Z2xicW_normal.jpg,124,Bignastyque7,This is chess & not checkers! #DaBruhz #OmegaPsiPhi #ProudFather #UNTgrad #Cigars #BeardGang #Texas #Raidernation #TripleD #SeeRed #ChiBulls #SFGiants #GoStars,Tue Nov 14 07:10:23 +0000 2017,-1802055680,1013,-0.125,https://twitter.com/i/web/status/972309733355945986,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;
"Bulls,,-1944657919,Pelicans and Bulls lose today!!!! Great days for Bulls fans!! #Bulls,W or L BULLS ALL DAY,https://pbs.twimg.com/profile_images/925884647065686016/CjM6QSeQ_normal.jpg,303,BullsFanJavi23,""if your not a bulls fan, i dont want to talk!! https://t.co/vrKAv8rVmX"",Sun Aug 28 22:12:30 +0000 2011,363910908,97,-0.125,,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;;;;;;;;
